name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,critic_score,critic_count,user_score,user_count,developer,rating,Manufacturer,CountDeveloper,CountPublisher
La Pucelle: Tactics,PS2,2002,Role-Playing,Tecmo Koei,90000,70000,0,20000,7.9,47,8.5,15,Nippon Ichi Software,T,Sony,18,23
Mega Man X: Command Mission,PS2,2004,Role-Playing,Capcom,90000,70000,0,20000,6.9,27,7.1,18,"Valuewave Co.,Ltd.",E,Sony,1,16
Dungeon Siege III,PC,2011,Role-Playing,Square Enix,80000,80000,0,20000,7.2,37,4.7,399,Obsidian Entertainment,T,PC,15,89
Professor Heinz Wolff's Gravity,Weii,2008,Puzzle,Deep Silver,40000,120000,0,20000,6.3,12,7.7,7,Deep Silver,E,Nintendo,4,19
Dungeon Siege: Throne of Agony,PSP,2006,Role-Playing,Take-Two Interactive,130000,20000,0,20000,7.4,32,8.1,21,SuperVillain Studios,T,Nintendo,1,4
Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,Tecmo Koei,80000,60000,0,20000,7.4,38,7.7,38,Gust,T,Sony,12,23
Digimon World 4,PS2,2005,Role-Playing,Atari,80000,60000,0,20000,4.8,7,6.9,37,Bandai,E,Sony,5,35
Musashi: Samurai Legend,PS2,2005,Role-Playing,Atari,70000,60000,0,20000,6.4,47,8.9,9,Square Enix,T,Sony,31,35
Wild ARMs 4,PS2,2005,Role-Playing,505 Games,70000,60000,0,20000,6.9,38,7.3,17,Media Vision,T,Sony,8,20
Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,70000,50000,0,20000,8.1,40,7.9,22,Nippon Ichi Software,T,Sony,18,23
Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,10000,100000,0,20000,9.3,33,9,1497,BioWare,T,PC,21,1
Risen,PC,2009,Role-Playing,Deep Silver,0,110000,0,20000,7.7,32,8.1,676,Piranha Bytes,M,PC,8,19
Ys: The Ark of Napishtim,PS2,2005,Role-Playing,Konami Digital Entertainment,70000,50000,0,20000,7.2,35,8.8,14,Falcom,T,Sony,5,17
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,PS2,2008,Role-Playing,Atlus,70000,50000,0,20000,7.9,23,8.7,26,Atlus Co.,M,Sony,5,17
Drakengard 2,PS2,2005,Role-Playing,Ubisoft,60000,50000,0,20000,5.8,34,5.5,49,Cavia Inc.,M,Sony,4,50
Puzzle Quest: Challenge of the Warlords,PS2,2007,Puzzle,D3Publisher,60000,50000,0,20000,7.8,11,7,6,Infinite Interactive,E10+,Sony,7,12
Makai Kingdom: Chronicles of the Sacred Tome,PS2,2005,Role-Playing,Tecmo Koei,60000,50000,0,20000,7.7,41,7.3,12,Nippon Ichi Software,T,Sony,18,23
Touch My Katamari,PSV,2011,Puzzle,Namco Bandai Games,70000,30000,0,20000,6.9,41,7.4,51,Bandai Namco Games,E10+,Sony,13,61
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,100000,0,20000,7.5,45,8.5,289,Media Vision,T,Sony,8,61
World of Warcraft,PC,2004,Role-Playing,Activision,80000,6210000,0,0,9.3,57,7.3,2182,Blizzard Entertainment,T,PC,10,39
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2570000,1520000,0,0,9.1,46,7.9,785,Blizzard Entertainment,T,PC,10,39
World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,1770000,320000,0,0,9,53,5.6,953,Blizzard Entertainment,T,PC,10,39
